Model,MAE,RMSE,R2 Score
Gradient Boosting Regressor,0.7802718000180362,1.0296218011569758,0.6841357901849925
Random Forest Regressor,0.7914273854278255,1.047084821807142,0.6733304243476379
Decision Tree Regressor,0.7948461007052054,1.0567539698238493,0.6672694056050568
Linear Regression,1.140825777211728,1.4189695351088432,0.40008309145041465
