Feature,Importance,Importance Std
consistency_score,0.27830699362787653,0.0013244165220397907
sleep_quality,0.20994090498747675,0.00027179150294662213
fitness_level_Unfit,0.023970677510550226,0.00034883770363014434
activity_ratio,0.004614948163207362,0.0003314830186127121
fitness_level_Moderate,0.003527274814126439,0.00025150391192989453
steps_per_day,0.0029963094398725762,0.00039847477786637245
diet_quality,0.002121835843538903,0.00041184262706659563
workouts_per_week,0.0012314344644415536,0.00026157867250948706
sleep_deficit,0.0010972877463993151,0.0003513193669032446
sleep_hours,0.0010107161037315644,0.00025642190924722786
bmi,0.0006911289355625572,0.0001632881983913942
heart_rate_resting,0.0005677559150106445,2.9284950998027986e-05
active_minutes,0.00016367878407008707,0.00022554286286013126
lifestyle_category_Sedentary,0.00012748623478438711,5.8475844188988704e-05
lifestyle_category_Athlete,0.0,0.0
age,-0.00013485247614678877,4.493756527189814e-05
sedentary_minutes,-0.0001469355927035861,0.00018632575412612403
hydration_liters,-0.00036447010435158855,0.00013444025518496015
heart_rate_avg,-0.000460420194636435,0.00015177722904402717
heart_rate_difference,-0.0005361288083359413,4.2064099141910944e-05
